total: 55
4663;1398;299;49;1401;1828;910;281;793;1210;1095;571;516;830;955;712;828;793;936;788;763;885;896;833;821;821;828;926;885;821;721;912;808;849;731;905;880;476;590;1103;1221;775;313;919;1835;1356;44;307;1366;4554;0;0;0;0;0;
total: 110
2254;655;169;34;643;821;510;239;441;590;530;354;311;382;473;385;542;479;399;360;423;468;438;408;423;430;491;417;402;437;464;466;470;433;439;433;427;448;449;469;441;498;445;412;456;438;425;425;443;445;442;435;419;448;453;446;454;492;453;397;470;429;449;442;449;443;407;448;415;427;445;464;459;480;481;443;391;394;479;472;442;402;466;507;415;433;406;484;527;386;507;406;334;360;511;537;440;234;521;730;671;42;169;638;2272;0;0;0;0;0;
total: 220
1113;324;97;24;335;409;281;108;230;262;238;179;175;221;246;184;259;251;225;181;207;261;287;225;200;225;231;244;187;229;289;221;233;197;231;233;210;224;223;243;241;224;218;202;204;233;230;209;216;213;221;211;217;209;227;234;213;230;197;211;243;245;203;208;219;233;216;205;229;230;236;225;225;207;230;198;226;243;219;232;201;217;211;230;211;214;227;228;213;229;227;246;200;235;212;229;233;229;234;207;214;205;239;216;224;199;229;230;226;237;249;234;233;207;180;234;221;247;216;215;239;223;217;221;209;218;221;197;227;221;225;226;218;244;216;226;219;209;244;220;236;226;231;250;223;207;245;235;216;234;245;222;219;209;242;242;242;223;226;237;234;203;244;213;211;226;232;227;232;223;197;198;258;234;220;209;237;219;219;229;221;223;228;219;239;230;220;237;249;262;198;195;243;245;234;192;211;247;283;198;214;218;184;185;251;273;222;119;283;416;307;22;90;335;1130;0;0;0;0;0;
